"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"RUS","Russia","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NLD","Netherlands","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",33.816,,
"NLD","Netherlands","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUT","Austria","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",19.563,,
"AUT","Austria","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SWE","Sweden","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"SWE","Sweden","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"RUS","Russia","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"RUS","Russia","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUS","Australia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",26.27,,
"AUS","Australia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NZL","New Zealand","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"NZL","New Zealand","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NOR","Norway","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.47,,
"NOR","Norway","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DNK","Denmark","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"DNK","Denmark","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NLD","Netherlands","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",24.388,,
"NLD","Netherlands","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"RUS","Russia","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"RUS","Russia","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"POL","Poland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",28.768,,
"POL","Poland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",19.675,,
"SVK","Slovak Republic","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LVA","Latvia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",27.547,,
"LVA","Latvia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUT","Austria","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",27.256,,
"AUT","Austria","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ESP","Spain","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",26.792,,
"ESP","Spain","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FRA","France","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",19.258,,
"FRA","France","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",23.125,,
"KOR","Korea","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"USA","United States","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"USA","United States","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LUX","Luxembourg","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"LUX","Luxembourg","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"PRT","Portugal","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"PRT","Portugal","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"PRT","Portugal","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"PRT","Portugal","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVN","Slovenia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",31.528,,
"SVN","Slovenia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FIN","Finland","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",46.102,,
"FIN","Finland","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"KOR","Korea","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NLD","Netherlands","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.078,,
"NLD","Netherlands","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",31.998,,
"GRC","Greece","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",29.37,"w","Includes data from another category"
"CHE","Switzerland","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"EST","Estonia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",27.628,,
"EST","Estonia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",24.832,,
"SVK","Slovak Republic","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",24.012,,
"SVK","Slovak Republic","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISR","Israel","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",16.622,"w","Includes data from another category"
"ISR","Israel","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FRA","France","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",32.365,,
"FRA","France","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",26.036,,
"CZE","Czech Republic","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISR","Israel","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",21.991,,
"ISR","Israel","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"JPN","Japan","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.928,,
"JPN","Japan","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SWE","Sweden","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",10.597,,
"SWE","Sweden","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GBR","United Kingdom","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.614,,
"GBR","United Kingdom","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DNK","Denmark","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"DNK","Denmark","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"GRC","Greece","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"TUR","Turkey","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",16.517,,
"TUR","Turkey","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DEU","Germany","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.586,,
"DEU","Germany","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LTU","Lithuania","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",19.157,,
"LTU","Lithuania","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"USA","United States","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",23.759,,
"USA","United States","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",20.549,,
"SVK","Slovak Republic","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"JPN","Japan","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.351,,
"JPN","Japan","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LVA","Latvia","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"LVA","Latvia","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"CAN","Canada","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"HUN","Hungary","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",26.175,,
"HUN","Hungary","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",28.937,,
